rank_id,gl,step,salary_per_annum_with_shift,salary_per_annum,monthly_salary,monthly_rent,shift_duty_allowance,domestic_servant,gross_emolument,tax,pension,nhf,total_deduction,net_pay
10,9,1,1736801.00,1451420.00,120951.67,17478.67,7203.08,,145633.42,9697.01,9071.38,3023.79,21792.18,123841.24
10,9,2,1764593.00,1471717.00,122643.08,18001.75,7304.58,,147949.41,9940.19,9198.23,3066.08,22204.50,125744.92
10,9,3,1792385.00,1492014.00,124334.50,18524.83,7406.08,,150265.41,10183.37,9325.09,3108.36,22616.82,127648.59
10,9,4,1820178.00,1512311.00,126025.92,19048.00,7507.58,,152581.50,10426.56,9451.94,3150.65,23029.15,129552.35
10,9,5,1847969.00,1532608.00,127717.33,19571.08,7609.00,,154897.41,10669.73,9578.80,3192.93,23441.46,131455.95
10,9,6,1875761.00,1552905.00,129408.75,20094.17,7710.50,,157213.42,10956.35,9705.66,3235.22,23897.23,133316.20
10,9,7,1903553.00,1573202.00,131100.17,20617.25,7812.00,,159529.42,11264.38,9832.51,3277.50,24374.40,135155.02
10,9,8,1931345.00,1593499.00,132791.58,21140.33,7913.50,,161845.41,11572.41,9959.37,3319.79,24851.57,136993.85
10,9,9,1959138.00,1613796.00,134483.00,21663.50,8015.00,,164161.50,11880.45,10086.23,3362.08,25328.75,138832.75
10,9,10,1986930.00,1634093.00,136174.42,22186.58,8116.50,,166477.50,12188.47,10213.08,3404.36,25805.91,140671.59
9,10,1,1890634.00,1563766.00,130313.83,20374.17,7764.83,,158452.83,11121.19,9773.54,3257.85,24152.57,134300.26
9,10,2,1921196.00,1586086.00,132173.83,20949.42,7876.42,,160999.67,11459.92,9913.04,3304.35,24677.30,136322.37
9,10,3,1951759.00,1608406.00,134033.83,21524.75,7988.00,,163546.58,11798.66,10052.54,3350.85,25202.04,138344.54
9,10,4,1982322.00,1630726.00,135893.83,22100.00,8099.67,,166093.50,12137.40,10192.04,3397.35,25726.78,140366.72
9,10,5,2012884.00,1653046.00,137753.83,22675.25,8211.25,,168640.33,12476.13,10331.54,3443.85,26251.51,142388.82
9,10,6,2043447.00,1675366.00,139613.83,23325.00,8322.83,,171261.66,12814.87,10471.04,3490.35,26776.25,144485.41
9,10,7,2074009.00,1697686.00,141473.83,23825.83,8434.42,,173734.09,13153.60,10610.54,3536.85,27300.98,146433.10
9,10,8,2104571.00,1720006.00,143333.83,24401.08,8546.00,,176280.92,13492.33,10750.04,3583.35,27825.71,148455.20
9,10,9,2135135.00,1742326.00,145193.83,24976.42,8657.67,,178827.92,13831.08,10889.54,3629.85,28350.46,150477.46
9,10,10,2165697.00,1764646.00,147053.83,25551.67,8769.25,,181374.75,14169.81,11029.04,3676.35,28875.19,152499.56
8,11,1,2052945.00,1688709.00,140725.75,22863.42,8389.58,,171978.75,12920.14,10554.43,3518.14,26992.72,144986.04
8,11,2,2100350.00,1723329.00,143610.75,23755.75,8562.67,,175929.17,13445.55,10770.81,3590.27,27806.63,148122.55
8,11,3,2147755.00,1757950.00,146495.83,24648.00,8735.75,,179879.58,13970.95,10987.19,3662.40,28620.53,151259.05
